MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:56:19


[COMMENT]
10_C_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-8,00	-22,00	-1,00	3,00	4,00	-2,00	1,00	6,00	6,00	10,00	24,00	-16,00	6,00	-7847,00	-4,00	14,00
-9,00	-22,00	6,00	6,00	3,00	-5,00	0,00	-1,00	9,00	13,00	22,00	-17,00	6,00	-7856,00	-4,00	8,00
-7,00	-17,00	6,00	6,00	1,00	-1,00	-1,00	-1,00	14,00	10,00	4,00	-9,00	9,00	-7859,00	-8,00	4,00
-10,00	-10,00	3,00	3,00	2,00	-1,00	-2,00	-2,00	11,00	0,00	3,00	2,00	7,00	-7866,00	-5,00	3,00
-3,00	-9,00	8,00	2,00	3,00	-2,00	0,00	-3,00	10,00	-1,00	0,00	5,00	11,00	-7871,00	-8,00	16,00
-5,00	-3,00	10,00	-1,00	5,00	-1,00	-1,00	-2,00	13,00	10,00	-4,00	-6,00	2,00	-7878,00	-6,00	17,00
-8,00	0,00	0,00	0,00	2,00	-1,00	-6,00	0,00	10,00	2,00	-2,00	-17,00	4,00	-7884,00	-4,00	11,00
-3,00	2,00	-13,00	6,00	1,00	-1,00	-1,00	0,00	9,00	-1,00	-3,00	-16,00	3,00	-7890,00	-9,00	7,00
-6,00	-2,00	-12,00	6,00	2,00	-2,00	3,00	5,00	6,00	-1,00	1,00	-11,00	5,00	-7897,00	-9,00	16,00
0,00	-1,00	-11,00	6,00	2,00	-3,00	3,00	9,00	9,00	4,00	1,00	-14,00	9,00	-7902,00	-7,00	13,00
0,00	0,00	-2,00	7,00	2,00	-3,00	3,00	17,00	11,00	-1,00	-2,00	-2,00	6,00	-7910,00	-4,00	6,00
-1,00	-1,00	7,00	7,00	3,00	-1,00	1,00	22,00	6,00	-7,00	-2,00	0,00	5,00	-7914,00	-2,00	8,00
-1,00	1,00	9,00	9,00	4,00	0,00	2,00	4,00	6,00	-6,00	0,00	6,00	7,00	-7922,00	-1,00	5,00
-5,00	0,00	8,00	12,00	3,00	-2,00	-3,00	-8,00	5,00	2,00	0,00	4,00	9,00	-7927,00	-1,00	9,00
-8,00	-6,00	13,00	6,00	0,00	0,00	-2,00	-5,00	7,00	-9,00	-9,00	-4,00	9,00	-7933,00	-6,00	17,00
-9,00	-10,00	12,00	4,00	2,00	-7,00	0,00	-17,00	10,00	-9,00	-3,00	-7,00	10,00	-7938,00	-4,00	17,00
-2,00	-4,00	5,00	7,00	0,00	-6,00	-2,00	-25,00	4,00	0,00	6,00	5,00	9,00	-7944,00	-7,00	9,00
0,00	-2,00	1,00	11,00	0,00	2,00	-1,00	-13,00	5,00	-1,00	0,00	14,00	5,00	-7951,00	-7,00	0,00
0,00	-1,00	-7,00	14,00	2,00	4,00	0,00	-1,00	7,00	-1,00	-5,00	14,00	6,00	-7955,00	-4,00	7,00
0,00	0,00	-16,00	18,00	4,00	0,00	-3,00	-18,00	12,00	0,00	-8,00	11,00	5,00	-7960,00	-6,00	11,00
0,00	4,00	-15,00	1,00	3,00	0,00	-1,00	-47,00	11,00	7,00	-16,00	5,00	2,00	-7967,00	-2,00	14,00
-1,00	6,00	-13,00	3,00	2,00	-4,00	0,00	-39,00	15,00	3,00	-18,00	2,00	8,00	-7971,00	0,00	6,00
-4,00	-1,00	-8,00	6,00	0,00	-2,00	0,00	-9,00	13,00	-5,00	3,00	-8,00	6,00	-7974,00	-4,00	7,00
0,00	2,00	-2,00	6,00	0,00	-2,00	0,00	3,00	11,00	-9,00	20,00	-10,00	6,00	-7982,00	-9,00	22,00
-2,00	2,00	-2,00	5,00	1,00	-4,00	1,00	11,00	10,00	7,00	7,00	-13,00	9,00	-7988,00	3,00	25,00
-8,00	-4,00	-2,00	-2,00	4,00	-2,00	0,00	-1,00	8,00	-1,00	-3,00	-17,00	5,00	-7991,00	18,00	15,00
-2,00	-8,00	0,00	-2,00	-1,00	-2,00	2,00	-8,00	4,00	-4,00	0,00	-18,00	11,00	-7995,00	3,00	13,00
-3,00	-9,00	9,00	-2,00	2,00	-3,00	-1,00	-1,00	9,00	17,00	-1,00	-19,00	9,00	-8001,00	-15,00	6,00
-8,00	-3,00	12,00	1,00	3,00	-2,00	-1,00	0,00	10,00	8,00	2,00	-3,00	6,00	-8002,00	7,00	12,00
-6,00	-5,00	3,00	9,00	5,00	0,00	-2,00	6,00	6,00	13,00	0,00	7,00	9,00	-8010,00	22,00	13,00
-7,00	-8,00	1,00	12,00	4,00	-2,00	-3,00	0,00	7,00	9,00	8,00	5,00	6,00	-8014,00	-2,00	11,00
-14,00	-9,00	-3,00	15,00	5,00	-3,00	0,00	-1,00	5,00	10,00	7,00	8,00	3,00	-8019,00	-18,00	9,00
-8,00	-5,00	2,00	17,00	2,00	-4,00	0,00	1,00	6,00	26,00	4,00	7,00	9,00	-8023,00	9,00	9,00
-6,00	-2,00	4,00	6,00	2,00	-4,00	-1,00	0,00	10,00	3,00	12,00	10,00	6,00	-8027,00	13,00	12,00
-13,00	-4,00	-1,00	-6,00	4,00	-3,00	-1,00	-1,00	12,00	-2,00	6,00	9,00	3,00	-8030,00	-13,00	8,00
-8,00	0,00	0,00	12,00	2,00	-4,00	-3,00	-8,00	12,00	-4,00	2,00	10,00	5,00	-8035,00	-16,00	11,00
-7,00	0,00	-10,00	9,00	1,00	0,00	-1,00	-2,00	11,00	2,00	3,00	-1,00	6,00	-8041,00	6,00	18,00
-5,00	-1,00	-11,00	6,00	0,00	-4,00	2,00	2,00	8,00	0,00	3,00	-6,00	4,00	-8043,00	-12,00	7,00
0,00	-4,00	-2,00	2,00	0,00	-2,00	0,00	3,00	4,00	-10,00	5,00	1,00	5,00	-8046,00	-20,00	12,00
0,00	-9,00	6,00	4,00	2,00	-4,00	-3,00	-2,00	5,00	-6,00	9,00	2,00	12,00	-8051,00	-11,00	8,00
0,00	-13,00	9,00	8,00	2,00	-1,00	-5,00	0,00	5,00	9,00	8,00	-8,00	3,00	-8056,00	1,00	11,00
